File Name,Label
./result_siw_mean/053-1-3-1-1/mean.txt,0
./result_siw_mean/056-2-3-1-1/mean.txt,0
./result_siw_mean/123-2-3-1-2/mean.txt,2
./result_siw_mean/094-1-2-2-2/mean.txt,1
./result_siw_mean/126-1-3-1-2/mean.txt,2
./result_siw_mean/118-1-3-3-1/mean.txt,2
./result_siw_mean/138-2-1-2-2/mean.txt,2
./result_siw_mean/045-2-1-1-2/mean.txt,0
./result_siw_mean/036-1-2-2-1/mean.txt,3
./result_siw_mean/077-2-3-4-1/mean.txt,0
./result_siw_mean/040-1-1-1-2/mean.txt,0
./result_siw_mean/102-2-3-4-2/mean.txt,2
./result_siw_mean/135-1-1-1-1/mean.txt,2
./result_siw_mean/048-1-1-2-1/mean.txt,2
./result_siw_mean/068-2-3-3-2/mean.txt,0
./result_siw_mean/130-2-1-1-1/mean.txt,1
./result_siw_mean/107-1-3-4-2/mean.txt,3
./result_siw_mean/167-1-1-1-2/mean.txt,2
./result_siw_mean/111-1-2-2-1/mean.txt,1
./result_siw_mean/155-1-3-4-1/mean.txt,2
./result_siw_mean/020-1-3-4-2/mean.txt,2
./result_siw_mean/017-2-1-1-1/mean.txt,0
./result_siw_mean/012-1-1-1-1/mean.txt,1
./result_siw_mean/064-1-2-2-2/mean.txt,1
./result_siw_mean/025-2-3-4-2/mean.txt,0
./result_siw_mean/119-1-2-1-2/mean.txt,1
./result_siw_mean/087-2-3-4-1/mean.txt,2
./result_siw_mean/009-1-3-2-1/mean.txt,0
./result_siw_mean/001-1-3-1-2/mean.txt,1
./result_siw_mean/098-2-3-3-2/mean.txt,0
./result_siw_mean/004-2-3-1-2/mean.txt,0
./result_siw_mean/016-1-1-1-1/mean.txt,1
./result_siw_mean/021-2-3-4-2/mean.txt,0
./result_siw_mean/060-1-2-2-2/mean.txt,0
./result_siw_mean/024-1-3-4-2/mean.txt,2
./result_siw_mean/013-2-1-1-1/mean.txt,0
./result_siw_mean/151-1-3-4-1/mean.txt,4
./result_siw_mean/163-1-1-1-2/mean.txt,3
./result_siw_mean/115-1-2-2-1/mean.txt,1
./result_siw_mean/068-1-2-1-1/mean.txt,1
./result_siw_mean/005-1-3-1-2/mean.txt,0
./result_siw_mean/099-1-3-3-2/mean.txt,0
./result_siw_mean/008-2-3-2-1/mean.txt,2
./result_siw_mean/083-2-3-4-1/mean.txt,2
./result_siw_mean/122-1-3-1-2/mean.txt,2
./result_siw_mean/090-1-2-2-2/mean.txt,1
./result_siw_mean/127-2-3-1-2/mean.txt,2
./result_siw_mean/098-1-2-1-1/mean.txt,1
./result_siw_mean/052-2-3-1-1/mean.txt,0
./result_siw_mean/057-1-3-1-1/mean.txt,1
./result_siw_mean/069-1-3-3-2/mean.txt,2
./result_siw_mean/049-2-1-2-1/mean.txt,1
./result_siw_mean/134-2-1-1-1/mean.txt,2
./result_siw_mean/103-1-3-4-2/mean.txt,0
./result_siw_mean/106-2-3-4-2/mean.txt,0
./result_siw_mean/131-1-1-1-1/mean.txt,2
./result_siw_mean/073-2-3-4-1/mean.txt,0
./result_siw_mean/032-1-2-2-1/mean.txt,1
./result_siw_mean/044-1-1-1-2/mean.txt,1
./result_siw_mean/139-1-1-2-2/mean.txt,2
./result_siw_mean/119-2-3-3-1/mean.txt,0
./result_siw_mean/041-2-1-1-2/mean.txt,1
./result_siw_mean/005-1-3-2-1/mean.txt,1
./result_siw_mean/008-2-3-1-2/mean.txt,0
./result_siw_mean/094-2-3-3-2/mean.txt,0
./result_siw_mean/091-1-3-3-2/mean.txt,0
./result_siw_mean/013-2-1-2-2/mean.txt,0
./result_siw_mean/033-1-3-3-1/mean.txt,1
./result_siw_mean/159-1-3-4-1/mean.txt,4
./result_siw_mean/060-1-2-1-1/mean.txt,1
./result_siw_mean/036-2-3-3-1/mean.txt,0
./result_siw_mean/016-1-1-2-2/mean.txt,1
